x_coordinates,y_coordinates,number_of_strokes,time,id_name,excercise_number
289.5,251,1,20,lewislefttask,29
288.5,251,1,24,lewislefttask,29
287.5,251,1,38,lewislefttask,29
286.5,251,1,26,lewislefttask,29
286.5,250,1,8,lewislefttask,29
285.5,250,1,20,lewislefttask,29
284.5,250,1,30,lewislefttask,29
284.5,249,1,16,lewislefttask,29
283.5,249,1,18,lewislefttask,29
282.5,248,1,28,lewislefttask,29
282.5,247,1,40,lewislefttask,29
281.5,247,1,14,lewislefttask,29
280.5,247,1,50,lewislefttask,29
280.5,247,1,17,lewislefttask,29
280.5,246,1,17,lewislefttask,29
279.5,246,1,66,lewislefttask,29
279.5,245,1,17,lewislefttask,29
278.5,245,1,31,lewislefttask,29
277.5,245,1,36,lewislefttask,29
275.5,244,1,16,lewislefttask,29
274.5,244,1,17,lewislefttask,29
272.5,243,1,17,lewislefttask,29
270.5,242,1,16,lewislefttask,29
268.5,241,1,17,lewislefttask,29
267.5,241,1,17,lewislefttask,29
266.5,241,1,16,lewislefttask,29
266.5,240,1,17,lewislefttask,29
265.5,240,1,17,lewislefttask,29
264.5,240,1,22,lewislefttask,29
264.5,239,1,11,lewislefttask,29
263.5,239,1,21,lewislefttask,29
262.5,239,1,46,lewislefttask,29
261.5,238,1,16,lewislefttask,29
260.5,238,1,22,lewislefttask,29
260.5,237,1,27,lewislefttask,29
259.5,237,1,18,lewislefttask,29
258.5,237,1,31,lewislefttask,29
258.5,236,1,35,lewislefttask,29
257.5,236,1,17,lewislefttask,29
256.5,236,1,17,lewislefttask,29
256.5,235,1,17,lewislefttask,29
255.5,235,1,50,lewislefttask,29
255.5,234,1,16,lewislefttask,29
254.5,233,1,17,lewislefttask,29
253.5,232,1,17,lewislefttask,29
253.5,231,1,16,lewislefttask,29
252.5,231,1,17,lewislefttask,29
251.5,230,1,17,lewislefttask,29
250.5,229,1,16,lewislefttask,29
249.5,228,1,20,lewislefttask,29
248.5,227,1,16,lewislefttask,29
247.5,226,1,15,lewislefttask,29
246.5,225,1,21,lewislefttask,29
246.5,224,1,20,lewislefttask,29
245.5,224,1,8,lewislefttask,29
245.5,223,1,17,lewislefttask,29
244.5,222,1,17,lewislefttask,29
244.5,221,1,16,lewislefttask,29
243.5,220,1,17,lewislefttask,29
243.5,219,1,16,lewislefttask,29
242.5,218,1,17,lewislefttask,29
241.5,217,1,17,lewislefttask,29
241.5,216,1,19,lewislefttask,29
240.5,215,1,14,lewislefttask,29
239.5,214,1,17,lewislefttask,29
238.5,213,1,17,lewislefttask,29
237.5,212,1,16,lewislefttask,29
236.5,211,1,17,lewislefttask,29
235.5,210,1,17,lewislefttask,29
234.5,208,1,16,lewislefttask,29
233.5,207,1,17,lewislefttask,29
232.5,205,1,17,lewislefttask,29
231.5,204,1,16,lewislefttask,29
231.5,202,1,17,lewislefttask,29
231.5,201,1,17,lewislefttask,29
230.5,200,1,16,lewislefttask,29
230.5,199,1,17,lewislefttask,29
230.5,197,1,17,lewislefttask,29
230.5,196,1,16,lewislefttask,29
230.5,195,1,17,lewislefttask,29
230.5,194,1,59,lewislefttask,29
231.5,193,1,12,lewislefttask,29
231.5,192,1,12,lewislefttask,29
230.5,191,1,17,lewislefttask,29
230.5,189,1,16,lewislefttask,29
229.5,187,1,17,lewislefttask,29
228.5,186,1,17,lewislefttask,29
227.5,184,1,17,lewislefttask,29
227.5,182,1,16,lewislefttask,29
226.5,181,1,17,lewislefttask,29
226.5,180,1,19,lewislefttask,29
226.5,179,1,72,lewislefttask,29
226.5,178,1,42,lewislefttask,29
227.5,178,1,17,lewislefttask,29
227.5,177,1,17,lewislefttask,29
227.5,175,1,16,lewislefttask,29
227.5,174,1,17,lewislefttask,29
228.5,173,1,17,lewislefttask,29
229.5,172,1,16,lewislefttask,29
230.5,170,1,17,lewislefttask,29
231.5,168,1,17,lewislefttask,29
232.5,166,1,16,lewislefttask,29
232.5,164,1,17,lewislefttask,29
233.5,163,1,17,lewislefttask,29
233.5,161,1,16,lewislefttask,29
233.5,160,1,17,lewislefttask,29
233.5,159,1,77,lewislefttask,29
234.5,159,1,8,lewislefttask,29
234.5,158,1,15,lewislefttask,29
233.5,158,1,25,lewislefttask,29
233.5,157,1,16,lewislefttask,29
233.5,156,1,42,lewislefttask,29
233.5,155,1,50,lewislefttask,29
234.5,154,1,17,lewislefttask,29
234.5,153,1,17,lewislefttask,29
234.5,152,1,18,lewislefttask,29
234.5,151,1,48,lewislefttask,29
235.5,151,1,50,lewislefttask,29
235.5,150,1,17,lewislefttask,29
236.5,148,1,17,lewislefttask,29
236.5,146,1,16,lewislefttask,29
236.5,143,1,17,lewislefttask,29
236.5,140,1,17,lewislefttask,29
236.5,139,1,16,lewislefttask,29
236.5,137,1,17,lewislefttask,29
237.5,135,1,17,lewislefttask,29
237.5,133,1,16,lewislefttask,29
237.5,131,1,17,lewislefttask,29
237.5,129,1,17,lewislefttask,29
237.5,128,1,16,lewislefttask,29
237.5,127,1,17,lewislefttask,29
238.5,125,1,16,lewislefttask,29
238.5,124,1,17,lewislefttask,29
239.5,124,1,28,lewislefttask,29
239.5,123,1,5,lewislefttask,29
240.5,123,1,18,lewislefttask,29
241.5,122,1,17,lewislefttask,29
242.5,121,1,16,lewislefttask,29
243.5,121,1,16,lewislefttask,29
244.5,121,1,17,lewislefttask,29
245.5,120,1,17,lewislefttask,29
246.5,120,1,26,lewislefttask,29
246.5,119,1,8,lewislefttask,29
247.5,119,1,16,lewislefttask,29
248.5,118,1,16,lewislefttask,29
249.5,118,1,20,lewislefttask,29
250.5,117,1,47,lewislefttask,29
251.5,117,1,50,lewislefttask,29
252.5,117,1,17,lewislefttask,29
252.5,116,1,18,lewislefttask,29
253.5,116,1,24,lewislefttask,29
254.5,116,1,41,lewislefttask,29
255.5,115,1,17,lewislefttask,29
256.5,115,1,22,lewislefttask,29
257.5,115,1,24,lewislefttask,29
257.5,114,1,4,lewislefttask,29
258.5,114,1,24,lewislefttask,29
258.5,113,1,16,lewislefttask,29
259.5,113,1,10,lewislefttask,29
260.5,112,1,91,lewislefttask,29
260.5,111,1,9,lewislefttask,29
261.5,109,1,16,lewislefttask,29
262.5,108,1,17,lewislefttask,29
262.5,107,1,17,lewislefttask,29
263.5,107,1,16,lewislefttask,29
265.5,105,1,17,lewislefttask,29
266.5,103,1,17,lewislefttask,29
267.5,101,1,16,lewislefttask,29
268.5,100,1,17,lewislefttask,29
269.5,99,1,17,lewislefttask,29
270.5,98,1,16,lewislefttask,29
271.5,96,1,17,lewislefttask,29
272.5,95,1,17,lewislefttask,29
272.5,94,1,16,lewislefttask,29
273.5,94,1,50,lewislefttask,29
274.5,94,1,17,lewislefttask,29
275.5,94,1,17,lewislefttask,29
276.5,94,1,16,lewislefttask,29
277.5,94,1,17,lewislefttask,29
279.5,94,1,16,lewislefttask,29
280.5,94,1,17,lewislefttask,29
282.5,95,1,17,lewislefttask,29
284.5,96,1,17,lewislefttask,29
286.5,96,1,16,lewislefttask,29
287.5,97,1,17,lewislefttask,29
288.5,97,1,17,lewislefttask,29
289.5,97,1,16,lewislefttask,29
290.5,97,1,17,lewislefttask,29
291.5,98,1,17,lewislefttask,29
292.5,98,1,18,lewislefttask,29
293.5,97,1,48,lewislefttask,29
294.5,97,1,50,lewislefttask,29
295.5,97,1,18,lewislefttask,29
295.5,96,1,16,lewislefttask,29
296.5,96,1,16,lewislefttask,29
297.5,96,1,17,lewislefttask,29
298.5,96,1,17,lewislefttask,29
299.5,95,1,16,lewislefttask,29
300.5,94,1,17,lewislefttask,29
300.5,93,1,17,lewislefttask,29
301.5,93,1,16,lewislefttask,29
302.5,92,1,19,lewislefttask,29
303.5,91,1,25,lewislefttask,29
304.5,90,1,73,lewislefttask,29
305.5,90,1,23,lewislefttask,29
305.5,89,1,10,lewislefttask,29
306.5,89,1,50,lewislefttask,29
307.5,89,1,20,lewislefttask,29
308.5,89,1,16,lewislefttask,29
308.5,88,1,14,lewislefttask,29
309.5,89,1,17,lewislefttask,29
309.5,88,1,17,lewislefttask,29
310.5,89,1,16,lewislefttask,29
311.5,89,1,24,lewislefttask,29
312.5,89,1,16,lewislefttask,29
313.5,88,1,20,lewislefttask,29
314.5,88,1,15,lewislefttask,29
315.5,88,1,12,lewislefttask,29
316.5,88,1,13,lewislefttask,29
317.5,88,1,17,lewislefttask,29
318.5,88,1,17,lewislefttask,29
319.5,88,1,16,lewislefttask,29
320.5,88,1,17,lewislefttask,29
321.5,88,1,17,lewislefttask,29
323.5,87,1,16,lewislefttask,29
324.5,86,1,17,lewislefttask,29
325.5,86,1,50,lewislefttask,29
326.5,86,1,25,lewislefttask,29
327.5,86,1,20,lewislefttask,29
328.5,86,1,15,lewislefttask,29
329.5,86,1,17,lewislefttask,29
329.5,87,1,12,lewislefttask,29
330.5,87,1,11,lewislefttask,29
331.5,87,1,17,lewislefttask,29
333.5,88,1,16,lewislefttask,29
335.5,89,1,17,lewislefttask,29
337.5,89,1,17,lewislefttask,29
339.5,90,1,16,lewislefttask,29
340.5,91,1,17,lewislefttask,29
341.5,92,1,17,lewislefttask,29
343.5,92,1,16,lewislefttask,29
343.5,93,1,17,lewislefttask,29
344.5,93,1,17,lewislefttask,29
345.5,93,1,16,lewislefttask,29
346.5,93,1,50,lewislefttask,29
347.5,93,1,17,lewislefttask,29
348.5,93,1,17,lewislefttask,29
349.5,93,1,18,lewislefttask,29
350.5,93,1,16,lewislefttask,29
351.5,93,1,16,lewislefttask,29
352.5,93,1,16,lewislefttask,29
353.5,93,1,17,lewislefttask,29
353.5,94,1,17,lewislefttask,29
354.5,94,1,16,lewislefttask,29
355.5,94,1,17,lewislefttask,29
356.5,94,1,29,lewislefttask,29
357.5,94,1,38,lewislefttask,29
358.5,95,1,17,lewislefttask,29
359.5,95,1,17,lewislefttask,29
360.5,95,1,24,lewislefttask,29
360.5,96,1,9,lewislefttask,29
362.5,96,1,16,lewislefttask,29
363.5,97,1,17,lewislefttask,29
366.5,98,1,16,lewislefttask,29
369.5,100,1,17,lewislefttask,29
372.5,102,1,17,lewislefttask,29
375.5,104,1,16,lewislefttask,29
377.5,105,1,17,lewislefttask,29
377.5,106,1,17,lewislefttask,29
378.5,107,1,16,lewislefttask,29
379.5,107,1,17,lewislefttask,29
380.5,106,1,50,lewislefttask,29
380.5,107,1,17,lewislefttask,29
381.5,107,1,16,lewislefttask,29
382.5,107,1,22,lewislefttask,29
383.5,107,1,12,lewislefttask,29
384.5,107,1,16,lewislefttask,29
386.5,108,1,17,lewislefttask,29
387.5,108,1,17,lewislefttask,29
389.5,109,1,16,lewislefttask,29
390.5,109,1,17,lewislefttask,29
391.5,110,1,16,lewislefttask,29
392.5,110,1,17,lewislefttask,29
392.5,111,1,17,lewislefttask,29
392.5,110,1,50,lewislefttask,29
392.5,111,1,17,lewislefttask,29
392.5,110,1,104,lewislefttask,29
392.5,111,1,12,lewislefttask,29
392.5,111,1,50,lewislefttask,29
392.5,110,1,17,lewislefttask,29
392.5,110,1,17,lewislefttask,29
392.5,111,1,32,lewislefttask,29
392.5,110,1,18,lewislefttask,29
392.5,111,1,16,lewislefttask,29
393.5,111,1,50,lewislefttask,29
394.5,112,1,17,lewislefttask,29
395.5,112,1,55,lewislefttask,29
395.5,113,1,12,lewislefttask,29
396.5,113,1,80,lewislefttask,29
396.5,114,1,8,lewislefttask,29
397.5,114,1,45,lewislefttask,29
397.5,115,1,17,lewislefttask,29
398.5,115,1,16,lewislefttask,29
398.5,116,1,17,lewislefttask,29
399.5,116,1,17,lewislefttask,29
399.5,117,1,16,lewislefttask,29
399.5,118,1,208,lewislefttask,29
400.5,118,1,9,lewislefttask,29
400.5,119,1,17,lewislefttask,29
401.5,120,1,17,lewislefttask,29
402.5,121,1,16,lewislefttask,29
402.5,122,1,17,lewislefttask,29
403.5,123,1,16,lewislefttask,29
404.5,124,1,20,lewislefttask,29
404.5,125,1,15,lewislefttask,29
404.5,126,1,24,lewislefttask,29
405.5,126,1,12,lewislefttask,29
405.5,127,1,46,lewislefttask,29
405.5,126,1,17,lewislefttask,29
405.5,127,1,16,lewislefttask,29
406.5,128,1,50,lewislefttask,29
406.5,129,1,20,lewislefttask,29
407.5,130,1,14,lewislefttask,29
408.5,131,1,16,lewislefttask,29
409.5,132,1,17,lewislefttask,29
409.5,134,1,17,lewislefttask,29
411.5,136,1,16,lewislefttask,29
411.5,137,1,17,lewislefttask,29
412.5,138,1,17,lewislefttask,29
413.5,140,1,16,lewislefttask,29
413.5,141,1,18,lewislefttask,29
413.5,142,1,16,lewislefttask,29
413.5,143,1,16,lewislefttask,29
413.5,144,1,17,lewislefttask,29
413.5,145,1,22,lewislefttask,29
413.5,146,1,45,lewislefttask,29
413.5,147,1,16,lewislefttask,29
413.5,148,1,17,lewislefttask,29
413.5,149,1,17,lewislefttask,29
413.5,150,1,16,lewislefttask,29
413.5,151,1,26,lewislefttask,29
413.5,152,1,16,lewislefttask,29
413.5,153,1,20,lewislefttask,29
413.5,154,1,12,lewislefttask,29
414.5,154,1,16,lewislefttask,29
414.5,155,1,10,lewislefttask,29
414.5,156,1,22,lewislefttask,29
414.5,157,1,12,lewislefttask,29
415.5,157,1,56,lewislefttask,29
415.5,158,1,304,lewislefttask,29
416.5,158,1,44,lewislefttask,29
416.5,159,1,12,lewislefttask,29
416.5,160,1,28,lewislefttask,29
417.5,161,1,16,lewislefttask,29
418.5,161,1,132,lewislefttask,29
419.5,160,1,116,lewislefttask,29
419.5,159,1,12,lewislefttask,29
420.5,159,1,13,lewislefttask,29
421.5,158,1,17,lewislefttask,29
422.5,158,1,26,lewislefttask,29
423.5,158,1,20,lewislefttask,29
423.5,157,1,8,lewislefttask,29
424.5,157,1,12,lewislefttask,29
426.5,156,1,17,lewislefttask,29
427.5,156,1,17,lewislefttask,29
428.5,156,1,16,lewislefttask,29
429.5,156,1,18,lewislefttask,29
429.5,155,1,16,lewislefttask,29
431.5,155,1,16,lewislefttask,29
432.5,154,1,20,lewislefttask,29
433.5,154,1,24,lewislefttask,29
434.5,153,1,40,lewislefttask,29
435.5,153,1,20,lewislefttask,29
436.5,153,1,24,lewislefttask,29
437.5,153,1,39,lewislefttask,29
438.5,153,1,17,lewislefttask,29
440.5,153,1,16,lewislefttask,29
441.5,154,1,17,lewislefttask,29
442.5,154,1,17,lewislefttask,29
443.5,154,1,16,lewislefttask,29
445.5,154,1,17,lewislefttask,29
447.5,154,1,17,lewislefttask,29
448.5,154,1,16,lewislefttask,29
449.5,154,1,17,lewislefttask,29
450.5,154,1,17,lewislefttask,29
451.5,155,1,16,lewislefttask,29
452.5,155,1,17,lewislefttask,29
454.5,155,1,16,lewislefttask,29
455.5,155,1,29,lewislefttask,29
456.5,155,1,20,lewislefttask,29
457.5,155,1,35,lewislefttask,29
458.5,155,1,17,lewislefttask,29
459.5,155,1,16,lewislefttask,29
460.5,155,1,17,lewislefttask,29
461.5,156,1,19,lewislefttask,29
462.5,156,1,20,lewislefttask,29
463.5,156,1,24,lewislefttask,29
464.5,157,1,37,lewislefttask,29
464.5,157,1,17,lewislefttask,29
465.5,157,1,16,lewislefttask,29
466.5,157,1,17,lewislefttask,29
467.5,157,1,17,lewislefttask,29
469.5,158,1,16,lewislefttask,29
470.5,158,1,17,lewislefttask,29
472.5,159,1,17,lewislefttask,29
474.5,160,1,16,lewislefttask,29
476.5,161,1,17,lewislefttask,29
478.5,163,1,17,lewislefttask,29
479.5,164,1,16,lewislefttask,29
480.5,164,1,17,lewislefttask,29
480.5,163,1,219,lewislefttask,29
480.5,162,1,14,lewislefttask,29
480.5,161,1,22,lewislefttask,29
480.5,160,1,28,lewislefttask,29
479.5,160,1,17,lewislefttask,29
479.5,159,1,156,lewislefttask,29
480.5,159,1,95,lewislefttask,29
480.5,158,1,49,lewislefttask,29
480.5,158,1,17,lewislefttask,29
480.5,159,1,50,lewislefttask,29
480.5,158,1,60,lewislefttask,29
480.5,159,1,12,lewislefttask,29
480.5,158,1,20,lewislefttask,29
481.5,158,1,48,lewislefttask,29
482.5,158,1,92,lewislefttask,29
483.5,157,1,36,lewislefttask,29
484.5,157,1,15,lewislefttask,29
485.5,156,1,17,lewislefttask,29
485.5,155,1,232,lewislefttask,29
484.5,154,1,29,lewislefttask,29
484.5,153,1,22,lewislefttask,29
483.5,152,1,17,lewislefttask,29
483.5,151,1,16,lewislefttask,29
483.5,150,1,17,lewislefttask,29
483.5,149,1,50,lewislefttask,29
484.5,149,1,21,lewislefttask,29
484.5,148,1,12,lewislefttask,29
485.5,146,1,17,lewislefttask,29
486.5,145,1,17,lewislefttask,29
487.5,143,1,16,lewislefttask,29
487.5,141,1,17,lewislefttask,29
488.5,137,1,17,lewislefttask,29
489.5,135,1,16,lewislefttask,29
490.5,132,1,17,lewislefttask,29
490.5,130,1,17,lewislefttask,29
491.5,129,1,16,lewislefttask,29
491.5,127,1,17,lewislefttask,29
492.5,126,1,17,lewislefttask,29
493.5,124,1,16,lewislefttask,29
493.5,122,1,17,lewislefttask,29
494.5,120,1,17,lewislefttask,29
494.5,118,1,17,lewislefttask,29
494.5,117,1,16,lewislefttask,29
494.5,116,1,16,lewislefttask,29
494.5,115,1,24,lewislefttask,29
495.5,115,1,10,lewislefttask,29
496.5,113,1,17,lewislefttask,29
496.5,111,1,16,lewislefttask,29
497.5,109,1,17,lewislefttask,29
498.5,107,1,17,lewislefttask,29
499.5,105,1,16,lewislefttask,29
500.5,104,1,17,lewislefttask,29
502.5,102,1,17,lewislefttask,29
503.5,102,1,16,lewislefttask,29
504.5,101,1,17,lewislefttask,29
505.5,100,1,17,lewislefttask,29
506.5,99,1,16,lewislefttask,29
507.5,99,1,17,lewislefttask,29
508.5,99,1,17,lewislefttask,29
509.5,99,1,16,lewislefttask,29
511.5,98,1,17,lewislefttask,29
512.5,98,1,17,lewislefttask,29
514.5,98,1,16,lewislefttask,29
515.5,98,1,17,lewislefttask,29
516.5,98,1,17,lewislefttask,29
517.5,97,1,16,lewislefttask,29
518.5,97,1,17,lewislefttask,29
520.5,97,1,16,lewislefttask,29
521.5,96,1,18,lewislefttask,29
522.5,96,1,16,lewislefttask,29
523.5,96,1,18,lewislefttask,29
524.5,96,1,21,lewislefttask,29
525.5,96,1,12,lewislefttask,29
525.5,95,1,16,lewislefttask,29
526.5,95,1,16,lewislefttask,29
527.5,95,1,17,lewislefttask,29
528.5,94,1,18,lewislefttask,29
529.5,94,1,16,lewislefttask,29
530.5,94,1,16,lewislefttask,29
531.5,93,1,16,lewislefttask,29
532.5,93,1,17,lewislefttask,29
533.5,92,1,17,lewislefttask,29
534.5,92,1,17,lewislefttask,29
535.5,91,1,16,lewislefttask,29
537.5,91,1,17,lewislefttask,29
538.5,90,1,17,lewislefttask,29
541.5,89,1,16,lewislefttask,29
542.5,88,1,17,lewislefttask,29
544.5,88,1,17,lewislefttask,29
545.5,87,1,16,lewislefttask,29
546.5,87,1,17,lewislefttask,29
548.5,86,1,17,lewislefttask,29
549.5,86,1,16,lewislefttask,29
551.5,86,1,17,lewislefttask,29
552.5,86,1,17,lewislefttask,29
553.5,86,1,16,lewislefttask,29
554.5,86,1,17,lewislefttask,29
555.5,85,1,17,lewislefttask,29
556.5,85,1,16,lewislefttask,29
557.5,85,1,17,lewislefttask,29
558.5,85,1,17,lewislefttask,29
559.5,85,1,16,lewislefttask,29
560.5,85,1,18,lewislefttask,29
561.5,85,1,15,lewislefttask,29
562.5,84,1,17,lewislefttask,29
564.5,84,1,17,lewislefttask,29
565.5,83,1,17,lewislefttask,29
567.5,83,1,16,lewislefttask,29
568.5,83,1,17,lewislefttask,29
570.5,83,1,17,lewislefttask,29
571.5,83,1,16,lewislefttask,29
572.5,83,1,17,lewislefttask,29
574.5,83,1,17,lewislefttask,29
576.5,83,1,16,lewislefttask,29
578.5,84,1,17,lewislefttask,29
582.5,84,1,17,lewislefttask,29
583.5,84,1,16,lewislefttask,29
586.5,84,1,17,lewislefttask,29
588.5,84,1,17,lewislefttask,29
590.5,85,1,16,lewislefttask,29
591.5,85,1,17,lewislefttask,29
593.5,85,1,17,lewislefttask,29
594.5,85,1,16,lewislefttask,29
595.5,85,1,17,lewislefttask,29
596.5,85,1,51,lewislefttask,29
597.5,85,1,16,lewislefttask,29
598.5,85,1,16,lewislefttask,29
600.5,86,1,17,lewislefttask,29
601.5,86,1,17,lewislefttask,29
602.5,86,1,16,lewislefttask,29
603.5,86,1,17,lewislefttask,29
604.5,86,1,17,lewislefttask,29
605.5,87,1,16,lewislefttask,29
606.5,87,1,19,lewislefttask,29
607.5,87,1,117,lewislefttask,29
607.5,88,1,14,lewislefttask,29
608.5,88,1,17,lewislefttask,29
609.5,88,1,20,lewislefttask,29
610.5,88,1,16,lewislefttask,29
611.5,89,1,14,lewislefttask,29
612.5,90,1,17,lewislefttask,29
613.5,90,1,16,lewislefttask,29
614.5,91,1,17,lewislefttask,29
615.5,92,1,17,lewislefttask,29
616.5,92,1,16,lewislefttask,29
617.5,92,1,17,lewislefttask,29
618.5,93,1,17,lewislefttask,29
619.5,93,1,16,lewislefttask,29
620.5,93,1,190,lewislefttask,29
621.5,94,1,10,lewislefttask,29
622.5,94,1,17,lewislefttask,29
623.5,95,1,17,lewislefttask,29
625.5,96,1,16,lewislefttask,29
626.5,96,1,17,lewislefttask,29
627.5,97,1,17,lewislefttask,29
628.5,97,1,16,lewislefttask,29
629.5,98,1,17,lewislefttask,29
630.5,98,1,17,lewislefttask,29
630.5,99,1,16,lewislefttask,29
631.5,100,1,17,lewislefttask,29
632.5,100,1,17,lewislefttask,29
632.5,101,1,16,lewislefttask,29
633.5,102,1,17,lewislefttask,29
634.5,103,1,17,lewislefttask,29
635.5,104,1,16,lewislefttask,29
636.5,105,1,17,lewislefttask,29
637.5,107,1,17,lewislefttask,29
639.5,110,1,16,lewislefttask,29
640.5,112,1,17,lewislefttask,29
642.5,114,1,17,lewislefttask,29
643.5,115,1,16,lewislefttask,29
643.5,116,1,20,lewislefttask,29
644.5,116,1,16,lewislefttask,29
644.5,117,1,24,lewislefttask,29
645.5,117,1,40,lewislefttask,29
646.5,117,1,80,lewislefttask,29
646.5,118,1,4,lewislefttask,29
647.5,118,1,16,lewislefttask,29
648.5,119,1,17,lewislefttask,29
650.5,120,1,17,lewislefttask,29
651.5,120,1,17,lewislefttask,29
652.5,121,1,16,lewislefttask,29
654.5,122,1,16,lewislefttask,29
655.5,124,1,17,lewislefttask,29
657.5,125,1,17,lewislefttask,29
658.5,127,1,17,lewislefttask,29
660.5,128,1,16,lewislefttask,29
661.5,130,1,17,lewislefttask,29
662.5,131,1,17,lewislefttask,29
662.5,132,1,17,lewislefttask,29
662.5,133,1,16,lewislefttask,29
663.5,133,1,19,lewislefttask,29
663.5,134,1,16,lewislefttask,29
664.5,135,1,28,lewislefttask,29
664.5,136,1,37,lewislefttask,29
665.5,137,1,30,lewislefttask,29
666.5,139,1,36,lewislefttask,29
667.5,140,1,17,lewislefttask,29
667.5,142,1,17,lewislefttask,29
668.5,143,1,17,lewislefttask,29
669.5,144,1,16,lewislefttask,29
669.5,146,1,17,lewislefttask,29
670.5,148,1,17,lewislefttask,29
671.5,150,1,16,lewislefttask,29
671.5,151,1,17,lewislefttask,29
672.5,153,1,17,lewislefttask,29
672.5,154,1,16,lewislefttask,29
673.5,155,1,17,lewislefttask,29
673.5,157,1,17,lewislefttask,29
673.5,158,1,20,lewislefttask,29
674.5,158,1,20,lewislefttask,29
673.5,158,1,43,lewislefttask,29
673.5,159,1,109,lewislefttask,29
673.5,160,1,8,lewislefttask,29
673.5,162,1,17,lewislefttask,29
673.5,163,1,16,lewislefttask,29
673.5,165,1,17,lewislefttask,29
673.5,166,1,16,lewislefttask,29
673.5,167,1,17,lewislefttask,29
673.5,169,1,17,lewislefttask,29
672.5,171,1,16,lewislefttask,29
672.5,173,1,17,lewislefttask,29
673.5,175,1,17,lewislefttask,29
673.5,178,1,17,lewislefttask,29
673.5,180,1,16,lewislefttask,29
673.5,182,1,17,lewislefttask,29
673.5,183,1,16,lewislefttask,29
673.5,184,1,17,lewislefttask,29
673.5,185,1,17,lewislefttask,29
673.5,186,1,17,lewislefttask,29
673.5,187,1,16,lewislefttask,29
672.5,187,1,24,lewislefttask,29
672.5,188,1,93,lewislefttask,29
670.5,189,1,17,lewislefttask,29
670.5,190,1,16,lewislefttask,29
670.5,191,1,17,lewislefttask,29
669.5,191,1,17,lewislefttask,29
669.5,192,1,16,lewislefttask,29
668.5,192,1,17,lewislefttask,29
667.5,193,1,16,lewislefttask,29
666.5,194,1,17,lewislefttask,29
666.5,195,1,19,lewislefttask,29
665.5,195,1,24,lewislefttask,29
665.5,196,1,48,lewislefttask,29
665.5,195,1,9,lewislefttask,29
665.5,196,1,31,lewislefttask,29
664.5,197,1,11,lewislefttask,29
664.5,198,1,8,lewislefttask,29
663.5,199,1,17,lewislefttask,29
663.5,200,1,16,lewislefttask,29
662.5,201,1,17,lewislefttask,29
662.5,202,1,17,lewislefttask,29
662.5,203,1,16,lewislefttask,29
661.5,204,1,17,lewislefttask,29
660.5,204,1,17,lewislefttask,29
660.5,205,1,16,lewislefttask,29
659.5,205,1,17,lewislefttask,29
659.5,206,1,17,lewislefttask,29
657.5,206,1,50,lewislefttask,29
656.5,206,1,16,lewislefttask,29
655.5,207,1,17,lewislefttask,29
653.5,209,1,17,lewislefttask,29
653.5,210,1,17,lewislefttask,29
652.5,211,1,16,lewislefttask,29
651.5,212,1,17,lewislefttask,29
650.5,212,1,20,lewislefttask,29
650.5,213,1,13,lewislefttask,29
649.5,214,1,50,lewislefttask,29
649.5,216,1,17,lewislefttask,29
648.5,218,1,16,lewislefttask,29
648.5,219,1,17,lewislefttask,29
648.5,221,1,17,lewislefttask,29
648.5,222,1,17,lewislefttask,29
648.5,224,1,16,lewislefttask,29
647.5,225,1,17,lewislefttask,29
647.5,226,1,32,lewislefttask,29
647.5,225,1,20,lewislefttask,29
646.5,227,1,48,lewislefttask,29
645.5,228,1,16,lewislefttask,29
645.5,229,1,17,lewislefttask,29
644.5,230,1,17,lewislefttask,29
643.5,230,1,50,lewislefttask,29
642.5,231,1,16,lewislefttask,29
641.5,231,1,20,lewislefttask,29
640.5,232,1,14,lewislefttask,29
639.5,232,1,18,lewislefttask,29
639.5,233,1,15,lewislefttask,29
638.5,233,1,17,lewislefttask,29
638.5,234,1,17,lewislefttask,29
637.5,234,1,16,lewislefttask,29
636.5,235,1,17,lewislefttask,29
635.5,235,1,17,lewislefttask,29
634.5,235,1,16,lewislefttask,29
633.5,236,1,17,lewislefttask,29
632.5,236,1,16,lewislefttask,29
631.5,237,1,17,lewislefttask,29
630.5,237,1,17,lewislefttask,29
629.5,238,1,17,lewislefttask,29
628.5,238,1,16,lewislefttask,29
627.5,239,1,17,lewislefttask,29
626.5,240,1,16,lewislefttask,29
625.5,240,1,17,lewislefttask,29
624.5,241,1,17,lewislefttask,29
623.5,241,1,16,lewislefttask,29
622.5,242,1,17,lewislefttask,29
621.5,242,1,17,lewislefttask,29
621.5,243,1,16,lewislefttask,29
621.5,243,1,17,lewislefttask,29
621.5,243,1,17,lewislefttask,29
620.5,244,1,21,lewislefttask,29
619.5,245,1,12,lewislefttask,29
617.5,247,1,17,lewislefttask,29
617.5,249,1,16,lewislefttask,29
616.5,250,1,17,lewislefttask,29
616.5,249,1,22,lewislefttask,29
616.5,250,1,11,lewislefttask,29
615.5,250,1,18,lewislefttask,29
614.5,250,1,16,lewislefttask,29
614.5,251,1,16,lewislefttask,29
614.5,250,1,32,lewislefttask,29
614.5,251,1,12,lewislefttask,29
614.5,251,1,40,lewislefttask,29
613.5,251,1,28,lewislefttask,29
613.5,252,1,8,lewislefttask,29
612.5,252,1,14,lewislefttask,29
