x_coordinates,y_coordinates,number_of_strokes,time,id_name,excercise_number
358.5,237,1,42,participantright,21
358.5,238,1,16,participantright,21
357.5,238,1,15,participantright,21
356.5,239,1,17,participantright,21
355.5,241,1,16,participantright,21
354.5,242,1,17,participantright,21
353.5,244,1,17,participantright,21
353.5,245,1,17,participantright,21
352.5,246,1,16,participantright,21
352.5,247,1,17,participantright,21
352.5,248,1,16,participantright,21
352.5,249,1,51,participantright,21
352.5,251,1,16,participantright,21
352.5,252,1,17,participantright,21
352.5,253,1,16,participantright,21
353.5,254,1,17,participantright,21
353.5,255,1,17,participantright,21
353.5,257,1,16,participantright,21
353.5,258,1,17,participantright,21
353.5,260,1,17,participantright,21
353.5,261,1,16,participantright,21
353.5,263,1,17,participantright,21
353.5,265,1,17,participantright,21
353.5,266,1,16,participantright,21
353.5,268,1,17,participantright,21
353.5,269,1,17,participantright,21
354.5,270,1,16,participantright,21
354.5,271,1,17,participantright,21
355.5,272,1,17,participantright,21
356.5,273,1,17,participantright,21
356.5,274,1,16,participantright,21
356.5,275,1,17,participantright,21
356.5,276,1,16,participantright,21
356.5,277,1,24,participantright,21
356.5,278,1,16,participantright,21
356.5,279,1,12,participantright,21
356.5,280,1,16,participantright,21
356.5,281,1,16,participantright,21
355.5,283,1,16,participantright,21
355.5,284,1,17,participantright,21
355.5,285,1,17,participantright,21
355.5,286,1,18,participantright,21
355.5,287,1,16,participantright,21
355.5,288,1,16,participantright,21
355.5,289,1,20,participantright,21
356.5,289,1,13,participantright,21
356.5,290,1,17,participantright,21
356.5,291,1,16,participantright,21
356.5,292,1,17,participantright,21
356.5,293,1,21,participantright,21
356.5,294,1,16,participantright,21
356.5,295,1,20,participantright,21
356.5,296,1,12,participantright,21
357.5,297,1,16,participantright,21
357.5,298,1,16,participantright,21
356.5,299,1,16,participantright,21
356.5,301,1,17,participantright,21
356.5,302,1,16,participantright,21
356.5,304,1,17,participantright,21
357.5,305,1,17,participantright,21
357.5,306,1,16,participantright,21
357.5,307,1,17,participantright,21
357.5,308,1,16,participantright,21
358.5,309,1,17,participantright,21
358.5,310,1,19,participantright,21
358.5,311,1,24,participantright,21
359.5,311,1,7,participantright,21
359.5,312,1,17,participantright,21
359.5,313,1,20,participantright,21
360.5,313,1,13,participantright,21
360.5,314,1,17,participantright,21
360.5,315,1,17,participantright,21
361.5,316,1,16,participantright,21
361.5,317,1,17,participantright,21
362.5,318,1,16,participantright,21
363.5,320,1,17,participantright,21
363.5,321,1,17,participantright,21
364.5,322,1,17,participantright,21
364.5,324,1,16,participantright,21
365.5,325,1,17,participantright,21
366.5,326,1,16,participantright,21
366.5,327,1,20,participantright,21
367.5,328,1,16,participantright,21
367.5,329,1,16,participantright,21
368.5,329,1,20,participantright,21
368.5,330,1,12,participantright,21
368.5,331,1,17,participantright,21
369.5,331,1,16,participantright,21
370.5,332,1,17,participantright,21
370.5,333,1,17,participantright,21
371.5,333,1,17,participantright,21
372.5,334,1,16,participantright,21
373.5,334,1,16,participantright,21
374.5,335,1,17,participantright,21
375.5,335,1,17,participantright,21
376.5,336,1,17,participantright,21
377.5,336,1,16,participantright,21
378.5,337,1,17,participantright,21
379.5,338,1,16,participantright,21
381.5,338,1,17,participantright,21
382.5,339,1,17,participantright,21
383.5,339,1,17,participantright,21
384.5,339,1,16,participantright,21
385.5,340,1,17,participantright,21
386.5,340,1,17,participantright,21
387.5,340,1,16,participantright,21
388.5,340,1,17,participantright,21
389.5,340,1,17,participantright,21
390.5,340,1,16,participantright,21
392.5,340,1,17,participantright,21
394.5,341,1,17,participantright,21
396.5,341,1,16,participantright,21
398.5,341,1,17,participantright,21
400.5,341,1,17,participantright,21
402.5,341,1,16,participantright,21
404.5,341,1,17,participantright,21
405.5,341,1,17,participantright,21
407.5,341,1,16,participantright,21
408.5,340,1,17,participantright,21
409.5,340,1,18,participantright,21
410.5,340,1,16,participantright,21
411.5,340,1,16,participantright,21
412.5,340,1,16,participantright,21
414.5,340,1,17,participantright,21
416.5,339,1,17,participantright,21
417.5,339,1,17,participantright,21
419.5,339,1,16,participantright,21
420.5,339,1,17,participantright,21
422.5,338,1,17,participantright,21
423.5,338,1,17,participantright,21
424.5,338,1,16,participantright,21
425.5,338,1,17,participantright,21
426.5,338,1,17,participantright,21
427.5,337,1,16,participantright,21
428.5,337,1,17,participantright,21
430.5,337,1,17,participantright,21
431.5,337,1,16,participantright,21
432.5,336,1,17,participantright,21
433.5,336,1,17,participantright,21
434.5,336,1,16,participantright,21
435.5,335,1,17,participantright,21
436.5,335,1,17,participantright,21
437.5,334,1,16,participantright,21
439.5,334,1,17,participantright,21
441.5,333,1,16,participantright,21
442.5,332,1,17,participantright,21
444.5,331,1,17,participantright,21
446.5,331,1,16,participantright,21
448.5,330,1,17,participantright,21
448.5,329,1,17,participantright,21
449.5,328,1,16,participantright,21
450.5,327,1,17,participantright,21
451.5,326,1,17,participantright,21
452.5,324,1,16,participantright,21
453.5,323,1,17,participantright,21
454.5,322,1,17,participantright,21
454.5,320,1,16,participantright,21
455.5,319,1,17,participantright,21
455.5,317,1,17,participantright,21
455.5,314,1,16,participantright,21
455.5,312,1,17,participantright,21
455.5,310,1,17,participantright,21
456.5,308,1,16,participantright,21
456.5,306,1,17,participantright,21
457.5,305,1,17,participantright,21
457.5,304,1,17,participantright,21
457.5,303,1,16,participantright,21
457.5,302,1,30,participantright,21
457.5,301,1,37,participantright,21
457.5,300,1,16,participantright,21
457.5,298,1,17,participantright,21
457.5,297,1,17,participantright,21
458.5,296,1,16,participantright,21
458.5,295,1,17,participantright,21
458.5,294,1,17,participantright,21
459.5,293,1,17,participantright,21
459.5,292,1,16,participantright,21
459.5,291,1,17,participantright,21
460.5,291,1,17,participantright,21
460.5,290,1,16,participantright,21
460.5,289,1,17,participantright,21
460.5,287,1,16,participantright,21
461.5,285,1,17,participantright,21
461.5,282,1,17,participantright,21
462.5,280,1,17,participantright,21
463.5,278,1,16,participantright,21
464.5,276,1,17,participantright,21
464.5,274,1,16,participantright,21
464.5,272,1,17,participantright,21
465.5,271,1,17,participantright,21
465.5,269,1,17,participantright,21
465.5,267,1,16,participantright,21
466.5,265,1,17,participantright,21
466.5,264,1,17,participantright,21
466.5,263,1,16,participantright,21
466.5,262,1,17,participantright,21
466.5,261,1,17,participantright,21
466.5,260,1,16,participantright,21
466.5,259,1,17,participantright,21
466.5,258,1,19,participantright,21
466.5,257,1,29,participantright,21
465.5,257,1,16,participantright,21
465.5,256,1,3,participantright,21
465.5,255,1,29,participantright,21
464.5,254,1,37,participantright,21
464.5,253,1,23,participantright,21
463.5,253,1,20,participantright,21
463.5,252,1,7,participantright,21
463.5,251,1,57,participantright,21
463.5,250,1,43,participantright,21
463.5,249,1,17,participantright,21
462.5,248,1,17,participantright,21
462.5,247,1,16,participantright,21
461.5,245,1,17,participantright,21
461.5,244,1,17,participantright,21
460.5,242,1,16,participantright,21
459.5,241,1,17,participantright,21
459.5,240,1,16,participantright,21
459.5,241,1,104,participantright,21
460.5,241,1,27,participantright,21
460.5,242,1,8,participantright,21
461.5,242,1,11,participantright,21
461.5,243,1,17,participantright,21
462.5,244,1,17,participantright,21
463.5,245,1,17,participantright,21
463.5,246,1,31,participantright,21
463.5,247,1,35,participantright,21
464.5,247,1,17,participantright,21
464.5,248,1,17,participantright,21
464.5,249,1,30,participantright,21
464.5,250,1,36,participantright,21
464.5,251,1,17,participantright,21
465.5,252,1,17,participantright,21
465.5,253,1,16,participantright,21
465.5,254,1,18,participantright,21
464.5,254,1,16,participantright,21
464.5,255,1,16,participantright,21
464.5,256,1,17,participantright,21
464.5,257,1,16,participantright,21
464.5,258,1,17,participantright,21
464.5,259,1,17,participantright,21
464.5,261,1,16,participantright,21
464.5,262,1,17,participantright,21
464.5,264,1,17,participantright,21
464.5,265,1,16,participantright,21
464.5,267,1,17,participantright,21
465.5,268,1,17,participantright,21
465.5,269,1,17,participantright,21
465.5,270,1,16,participantright,21
465.5,272,1,17,participantright,21
465.5,273,1,16,participantright,21
465.5,274,1,17,participantright,21
465.5,275,1,17,participantright,21
465.5,276,1,17,participantright,21
465.5,277,1,16,participantright,21
465.5,279,1,17,participantright,21
465.5,280,1,17,participantright,21
465.5,281,1,16,participantright,21
465.5,282,1,17,participantright,21
465.5,284,1,17,participantright,21
465.5,285,1,16,participantright,21
465.5,287,1,17,participantright,21
465.5,289,1,16,participantright,21
465.5,291,1,17,participantright,21
465.5,293,1,17,participantright,21
465.5,295,1,16,participantright,21
465.5,298,1,17,participantright,21
465.5,301,1,17,participantright,21
465.5,303,1,16,participantright,21
465.5,305,1,17,participantright,21
465.5,307,1,17,participantright,21
465.5,309,1,17,participantright,21
465.5,310,1,16,participantright,21
466.5,311,1,17,participantright,21
466.5,312,1,16,participantright,21
466.5,313,1,17,participantright,21
466.5,314,1,17,participantright,21
466.5,315,1,16,participantright,21
467.5,316,1,17,participantright,21
467.5,318,1,17,participantright,21
468.5,320,1,16,participantright,21
468.5,321,1,17,participantright,21
469.5,323,1,17,participantright,21
469.5,325,1,17,participantright,21
470.5,326,1,16,participantright,21
471.5,329,1,17,participantright,21
471.5,330,1,16,participantright,21
471.5,331,1,17,participantright,21
472.5,332,1,17,participantright,21
473.5,333,1,16,participantright,21
473.5,334,1,17,participantright,21
474.5,334,1,17,participantright,21
474.5,335,1,16,participantright,21
475.5,335,1,19,participantright,21
476.5,335,1,15,participantright,21
477.5,336,1,17,participantright,21
479.5,336,1,16,participantright,21
481.5,337,1,17,participantright,21
482.5,337,1,16,participantright,21
483.5,337,1,17,participantright,21
483.5,338,1,50,participantright,21
484.5,339,1,17,participantright,21
485.5,339,1,17,participantright,21
486.5,339,1,23,participantright,21
487.5,339,1,10,participantright,21
