x_coordinates,y_coordinates,number_of_strokes,time,id_name,excercise_number
315.5,205,2,5,participant2left,21
316.5,206,2,17,participant2left,21
316.5,207,2,14,participant2left,21
316.5,208,2,18,participant2left,21
317.5,209,2,16,participant2left,21
317.5,210,2,16,participant2left,21
318.5,210,2,17,participant2left,21
318.5,211,2,17,participant2left,21
319.5,212,2,50,participant2left,21
319.5,213,2,16,participant2left,21
319.5,214,2,21,participant2left,21
319.5,215,2,13,participant2left,21
320.5,216,2,16,participant2left,21
320.5,217,2,17,participant2left,21
320.5,218,2,17,participant2left,21
320.5,219,2,21,participant2left,21
320.5,220,2,28,participant2left,21
320.5,221,2,20,participant2left,21
320.5,223,2,31,participant2left,21
320.5,224,2,16,participant2left,21
320.5,225,2,17,participant2left,21
320.5,226,2,24,participant2left,21
320.5,227,2,15,participant2left,21
320.5,228,2,21,participant2left,21
320.5,229,2,12,participant2left,21
320.5,230,2,12,participant2left,21
320.5,231,2,16,participant2left,21
320.5,232,2,17,participant2left,21
320.5,233,2,16,participant2left,21
320.5,235,2,17,participant2left,21
320.5,236,2,17,participant2left,21
320.5,239,2,16,participant2left,21
320.5,241,2,17,participant2left,21
320.5,242,2,17,participant2left,21
320.5,243,2,16,participant2left,21
319.5,245,2,17,participant2left,21
319.5,246,2,17,participant2left,21
319.5,248,2,16,participant2left,21
320.5,251,2,17,participant2left,21
320.5,252,2,17,participant2left,21
320.5,253,2,16,participant2left,21
320.5,254,2,17,participant2left,21
320.5,255,2,17,participant2left,21
320.5,257,2,16,participant2left,21
320.5,259,2,17,participant2left,21
320.5,260,2,17,participant2left,21
321.5,261,2,16,participant2left,21
321.5,262,2,17,participant2left,21
321.5,263,2,17,participant2left,21
321.5,264,2,16,participant2left,21
321.5,265,2,20,participant2left,21
321.5,266,2,16,participant2left,21
321.5,267,2,21,participant2left,21
322.5,268,2,10,participant2left,21
322.5,269,2,17,participant2left,21
322.5,270,2,73,participant2left,21
322.5,271,2,12,participant2left,21
323.5,272,2,15,participant2left,21
325.5,275,2,16,participant2left,21
327.5,279,2,17,participant2left,21
328.5,280,2,17,participant2left,21
330.5,281,2,17,participant2left,21
331.5,283,2,16,participant2left,21
333.5,285,2,17,participant2left,21
334.5,286,2,16,participant2left,21
335.5,287,2,17,participant2left,21
336.5,288,2,64,participant2left,21
337.5,288,2,16,participant2left,21
337.5,289,2,16,participant2left,21
338.5,289,2,4,participant2left,21
339.5,289,2,17,participant2left,21
340.5,290,2,17,participant2left,21
341.5,291,2,16,participant2left,21
342.5,291,2,17,participant2left,21
343.5,291,2,25,participant2left,21
344.5,291,2,16,participant2left,21
345.5,291,2,12,participant2left,21
346.5,292,2,21,participant2left,21
346.5,291,2,9,participant2left,21
347.5,292,2,17,participant2left,21
348.5,291,2,17,participant2left,21
349.5,291,2,24,participant2left,21
350.5,291,2,16,participant2left,21
351.5,291,2,16,participant2left,21
351.5,292,2,10,participant2left,21
353.5,291,2,17,participant2left,21
354.5,291,2,17,participant2left,21
356.5,292,2,16,participant2left,21
357.5,292,2,17,participant2left,21
359.5,292,2,17,participant2left,21
360.5,292,2,16,participant2left,21
362.5,292,2,17,participant2left,21
363.5,292,2,16,participant2left,21
365.5,292,2,17,participant2left,21
366.5,292,2,17,participant2left,21
367.5,292,2,17,participant2left,21
369.5,292,2,16,participant2left,21
371.5,291,2,17,participant2left,21
373.5,290,2,17,participant2left,21
376.5,289,2,16,participant2left,21
377.5,288,2,17,participant2left,21
379.5,288,2,17,participant2left,21
380.5,287,2,16,participant2left,21
382.5,286,2,17,participant2left,21
383.5,285,2,17,participant2left,21
384.5,284,2,16,participant2left,21
385.5,284,2,17,participant2left,21
386.5,282,2,16,participant2left,21
387.5,281,2,17,participant2left,21
388.5,280,2,17,participant2left,21
388.5,279,2,16,participant2left,21
389.5,278,2,17,participant2left,21
390.5,278,2,17,participant2left,21
391.5,277,2,16,participant2left,21
391.5,276,2,17,participant2left,21
392.5,276,2,17,participant2left,21
393.5,275,2,17,participant2left,21
393.5,274,2,16,participant2left,21
394.5,273,2,17,participant2left,21
395.5,272,2,50,participant2left,21
395.5,271,2,16,participant2left,21
396.5,269,2,17,participant2left,21
396.5,268,2,17,participant2left,21
397.5,268,2,17,participant2left,21
397.5,267,2,16,participant2left,21
398.5,266,2,21,participant2left,21
398.5,265,2,28,participant2left,21
399.5,265,2,21,participant2left,21
399.5,264,2,14,participant2left,21
399.5,263,2,22,participant2left,21
400.5,263,2,11,participant2left,21
400.5,262,2,17,participant2left,21
401.5,261,2,16,participant2left,21
401.5,260,2,17,participant2left,21
402.5,259,2,19,participant2left,21
402.5,258,2,24,participant2left,21
403.5,258,2,8,participant2left,21
403.5,257,2,15,participant2left,21
403.5,256,2,17,participant2left,21
404.5,255,2,50,participant2left,21
404.5,254,2,17,participant2left,21
404.5,253,2,17,participant2left,21
404.5,252,2,16,participant2left,21
404.5,251,2,17,participant2left,21
404.5,249,2,17,participant2left,21
404.5,248,2,16,participant2left,21
404.5,246,2,17,participant2left,21
404.5,244,2,17,participant2left,21
404.5,242,2,16,participant2left,21
405.5,241,2,17,participant2left,21
405.5,240,2,17,participant2left,21
405.5,238,2,16,participant2left,21
405.5,236,2,17,participant2left,21
404.5,233,2,17,participant2left,21
403.5,229,2,16,participant2left,21
403.5,227,2,17,participant2left,21
403.5,226,2,16,participant2left,21
403.5,225,2,17,participant2left,21
403.5,223,2,17,participant2left,21
403.5,221,2,17,participant2left,21
403.5,219,2,16,participant2left,21
402.5,218,2,17,participant2left,21
402.5,217,2,17,participant2left,21
402.5,216,2,30,participant2left,21
402.5,214,2,53,participant2left,21
401.5,212,2,17,participant2left,21
399.5,209,2,16,participant2left,21
398.5,207,2,17,participant2left,21
396.5,204,2,17,participant2left,21
395.5,201,2,16,participant2left,21
395.5,200,2,17,participant2left,21
395.5,199,2,17,participant2left,21
395.5,200,2,154,participant2left,21
396.5,200,2,28,participant2left,21
397.5,202,2,18,participant2left,21
398.5,204,2,16,participant2left,21
399.5,205,2,17,participant2left,21
399.5,206,2,17,participant2left,21
400.5,207,2,16,participant2left,21
400.5,208,2,20,participant2left,21
400.5,209,2,16,participant2left,21
401.5,209,2,14,participant2left,21
401.5,211,2,17,participant2left,21
402.5,212,2,17,participant2left,21
402.5,214,2,16,participant2left,21
402.5,215,2,17,participant2left,21
402.5,216,2,17,participant2left,21
403.5,218,2,16,participant2left,21
403.5,221,2,17,participant2left,21
404.5,223,2,17,participant2left,21
404.5,225,2,16,participant2left,21
405.5,227,2,17,participant2left,21
405.5,230,2,17,participant2left,21
405.5,232,2,16,participant2left,21
405.5,234,2,17,participant2left,21
406.5,235,2,16,participant2left,21
406.5,237,2,17,participant2left,21
405.5,239,2,17,participant2left,21
405.5,242,2,17,participant2left,21
405.5,244,2,16,participant2left,21
405.5,246,2,17,participant2left,21
405.5,248,2,17,participant2left,21
405.5,249,2,16,participant2left,21
405.5,251,2,17,participant2left,21
406.5,253,2,17,participant2left,21
406.5,254,2,16,participant2left,21
406.5,256,2,17,participant2left,21
406.5,258,2,16,participant2left,21
407.5,259,2,17,participant2left,21
407.5,261,2,17,participant2left,21
408.5,264,2,17,participant2left,21
409.5,266,2,16,participant2left,21
410.5,269,2,17,participant2left,21
411.5,272,2,16,participant2left,21
412.5,274,2,17,participant2left,21
413.5,276,2,17,participant2left,21
413.5,278,2,17,participant2left,21
414.5,279,2,16,participant2left,21
414.5,281,2,17,participant2left,21
415.5,282,2,16,participant2left,21
415.5,283,2,17,participant2left,21
415.5,284,2,17,participant2left,21
416.5,284,2,17,participant2left,21
416.5,285,2,16,participant2left,21
417.5,285,2,190,participant2left,21
417.5,286,2,10,participant2left,21
418.5,286,2,17,participant2left,21
419.5,287,2,17,participant2left,21
420.5,287,2,20,participant2left,21
421.5,287220,2,132,participant2left,21
